Image:;45M_SP_O.BMP;45M_SP_O.BMP;45M_SA_C.BMP;45M_SA_C.BMP;45M_NE_C.BMP;45M_NE_C.BMP;45M_HA_O.BMP;45M_HA_O.BMP;45M_FE_O.BMP;45M_FE_O.BMP;45M_DI_O.BMP;45M_DI_O.BMP;45M_CA_C.BMP;45M_CA_C.BMP;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;674;414;351;615;295;484;528;290;481;292;672;546;256;749;
Aval. Resp:;9;7;9;6;3;6;9;5;1;8;4;4;2;1;


Image:;45M_AN_O.BMP;45M_AN_O.BMP;42M_SP_O.BMP;42M_SP_O.BMP;42M_SA_C.BMP;42M_SA_C.BMP;42M_NE_C.BMP;42M_NE_C.BMP;42M_HA_O.BMP;42M_HA_O.BMP;42M_FE_O.BMP;42M_FE_O.BMP;42M_DI_O.BMP;42M_DI_O.BMP;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;669;273;290;452;283;642;642;323;354;486;465;338;528;525;
Aval. Resp:;2;6;6;5;9;9;9;8;2;9;1;9;9;8;


Image:;42M_CA_C.BMP;42M_CA_C.BMP;42M_AN_C.BMP;42M_AN_C.BMP;40M_SP_O.BMP;40M_SP_O.BMP;40M_SA_C.BMP;40M_SA_C.BMP;40M_NE_C.BMP;40M_NE_C.BMP;40M_HA_O.BMP;40M_HA_O.BMP;40M_FE_O.BMP;40M_FE_O.BMP;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;561;394;554;498;388;524;637;386;314;337;571;624;301;657;
Aval. Resp:;2;6;3;2;3;7;2;1;3;6;9;6;7;8;


Image:;40M_DI_O.BMP;40M_DI_O.BMP;40M_CA_C.BMP;40M_CA_C.BMP;40M_AN_O.BMP;40M_AN_O.BMP;34M_SP_O.BMP;34M_SP_O.BMP;34M_SA_C.BMP;34M_SA_C.BMP;34M_NE_C.BMP;34M_NE_C.BMP;34M_HA_O.BMP;34M_HA_O.BMP;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;576;589;481;698;695;452;325;677;635;679;634;491;401;345;
Aval. Resp:;6;9;5;2;8;1;9;9;4;2;6;1;7;5;


Image:;34M_FE_O.BMP;34M_FE_O.BMP;34M_DI_O.BMP;34M_DI_O.BMP;34M_CA_C.BMP;34M_CA_C.BMP;34M_AN_C.BMP;34M_AN_C.BMP;18F_SP_O.BMP;18F_SP_O.BMP;18F_SA_C.BMP;18F_SA_C.BMP;18F_NE_O.BMP;18F_NE_O.BMP;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;721;399;522;293;703;394;265;450;679;313;731;426;544;297;
Aval. Resp:;8;1;5;9;2;9;6;7;6;3;4;2;2;6;


Image:;18F_HA_O.BMP;18F_HA_O.BMP;18F_FE_O.BMP;18F_FE_O.BMP;18F_DI_O.BMP;18F_DI_O.BMP;18F_CA_C.BMP;18F_CA_C.BMP;18F_AN_O.BMP;18F_AN_O.BMP;11F_SP_O.BMP;11F_SP_O.BMP;11F_SA_O.BMP;11F_SA_O.BMP;
SAM:;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;valência_num;ativação_num;
Aval. RT:;719;502;252;547;686;565;308;360;726;463;275;510;413;677;
Aval. Resp:;1;8;2;6;4;6;4;2;5;5;4;2;1;4;


