Attractivity:;59;22;40;84;33;17;15;73;8;68;86;41;18;44;
StimulusA:;8312.jpg;1750.jpg;8475.jpg;2520.jpg;3302.jpg;5830.jpg;5600.jpg;2799.jpg;8185.jpg;9075.jpg;7078.jpg;1112.jpg;5849.jpg;4225.jpg;
Cycle:;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Sample:;1;2;3;4;5;6;7;8;9;10;11;12;13;14;
OffsetTime:;126823;138273;142722;147505;151639;156122;160105;164388;168538;172888;176972;181055;185255;189538;
StartTime:;126823;138273;142723;147505;151639;156122;160105;164388;168538;172888;176972;181055;185255;189538;
ClickTime:;135279;139727;144518;148647;153125;157102;161393;165541;169890;173961;178061;182252;186533;191330;
VAS Res:;49;11;80;69;25;20;10;84;74;88;67;61;60;74;
VAS RT:;8456;1454;1795;1142;1486;980;1288;1153;1352;1073;1089;1197;1278;1792;


Attractivity:;72;16;65;66;74;80;27;57;35;50;76;64;53;67;
StimulusA:;2457.jpg;5622.jpg;6230.jpg;6350.jpg;3190.jpg;9610.jpg;5779.jpg;7160.jpg;4664.1.jpg;9402.jpg;7136.jpg;5971.jpg;2377.jpg;8230.jpg;
Cycle:;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Sample:;15;16;17;18;19;20;21;22;23;24;25;26;27;28;
OffsetTime:;194338;198271;202071;205838;209888;213754;218304;222104;226804;230587;234487;238370;242237;246537;
StartTime:;194338;198271;202072;205838;209888;213754;218304;222104;226804;230587;234487;238370;242237;246537;
ClickTime:;195259;199078;202847;206900;210748;215308;219098;223807;227587;231487;235379;239240;243539;247542;
VAS Res:;8;34;15;20;19;25;12;42;24;34;18;10;16;9;
VAS RT:;921;807;775;1062;860;1554;794;1703;783;900;892;870;1302;1005;


Attractivity:;83;34;52;39;77;46;45;25;12;48;75;4;7;89;
StimulusA:;2491.jpg;4232.jpg;2359.jpg;8160.jpg;8231.jpg;7461.jpg;7137.jpg;5594.jpg;2340.jpg;7510.jpg;5970.jpg;5825.jpg;8179.jpg;9331.jpg;
Cycle:;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Sample:;29;30;31;32;33;34;35;36;37;38;39;40;41;42;
OffsetTime:;250537;254870;259120;263320;267403;271470;275686;281136;291219;296336;306336;310469;315352;331252;
StartTime:;250537;254870;259121;263320;267403;271470;275686;281136;291219;296336;306336;310470;315352;331252;
ClickTime:;251872;256110;260330;264389;268468;272687;278146;288224;293342;303336;307464;312354;328249;332428;
VAS Res:;14;14;10;16;14;20;13;24;22;22;14;19;22;14;
VAS RT:;1335;1240;1209;1069;1065;1217;2460;7088;2123;7000;1128;1884;12897;1176;


Attractivity:;14;10;61;5;87;43;30;2;79;58;55;49;1;29;
StimulusA:;5210.jpg;8501.jpg;1120.jpg;5833.jpg;9045.jpg;3210.jpg;8205.jpg;2045.jpg;9470.jpg;7351.jpg;5471.jpg;8118.jpg;1650.jpg;7900.jpg;
Cycle:;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Sample:;43;44;45;46;47;48;49;50;51;52;53;54;55;56;
OffsetTime:;335435;339268;345218;349218;355185;359218;371618;380134;385951;391651;397001;401367;405184;409017;
StartTime:;335435;339268;345218;349218;355185;359218;371618;380134;385951;391651;397001;401367;405184;409018;
ClickTime:;336278;342222;346222;352190;356228;368609;377135;382956;388663;394001;398351;402179;406029;409887;
VAS Res:;18;16;18;15;16;17;25;17;25;21;17;21;16;15;
VAS RT:;843;2954;1004;2972;1043;9391;5517;2822;2712;2350;1350;812;845;869;


Attractivity:;70;56;62;69;20;23;81;24;9;37;31;51;11;36;
StimulusA:;9412.jpg;5500.jpg;3000.jpg;9321.jpg;8540.jpg;2360.jpg;2206.jpg;2530.jpg;8420.jpg;6910.jpg;1321.jpg;1333.jpg;1710.jpg;5950.jpg;
Cycle:;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Sample:;57;58;59;60;61;62;63;64;65;66;67;68;69;70;
OffsetTime:;412884;416634;420534;424850;428583;432433;436667;440883;444733;449133;453083;456983;461166;465499;
StartTime:;412884;416634;420534;424850;428583;432433;436667;440883;444733;449133;453083;456983;461167;465499;
ClickTime:;413638;417546;421856;425596;429446;433667;437867;441745;446129;450088;453988;458178;462488;466956;
VAS Res:;11;20;16;16;18;10;19;16;14;16;16;17;18;17;
VAS RT:;754;912;1322;746;863;1234;1200;862;1396;955;905;1195;1321;1457;


Attractivity:;42;85;21;82;54;3;26;90;60;32;28;71;78;38;
StimulusA:;1908.jpg;7054.jpg;1441.jpg;2400.jpg;4534.jpg;4220.jpg;5760.jpg;9360.jpg;9401.jpg;1726.jpg;7475.jpg;2455.jpg;9373.jpg;7640.jpg;
Cycle:;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
Sample:;71;72;73;74;75;76;77;78;79;80;81;82;83;84;
OffsetTime:;470016;474499;478516;482532;486532;490432;494232;498482;502432;506949;511132;515098;518932;522865;
StartTime:;470016;474499;478516;482532;486532;490432;494232;498482;502432;506949;511132;515098;518932;522865;
ClickTime:;471455;475515;479526;483536;487440;491220;495482;499419;503920;508139;512088;515918;519867;524357;
VAS Res:;24;12;20;18;16;28;17;21;20;24;13;29;26;20;
VAS RT:;1439;1016;1010;1004;908;788;1250;937;1488;1190;956;820;935;1492;


Attractivity:;88;63;13;47;6;19;
StimulusA:;9110.jpg;3170.jpg;4250.jpg;7505.jpg;7405.jpg;7220.jpg;
Cycle:;1;1;1;1;1;1;
Sample:;85;86;87;88;89;90;
OffsetTime:;527365;531281;535498;539481;545731;549448;
StartTime:;527365;531281;535498;539481;545731;549448;
ClickTime:;528247;532506;536467;540939;546457;550265;
VAS Res:;19;18;27;18;27;23;
VAS RT:;882;1225;969;1458;726;817;


